time,A,B,C,D
23.20,99,94,121,163
23.29,99,96,117,165
23.38,99,95,116,165
23.47,104,100,127,170
23.55,107,102,121,173
23.64,104,101,123,174
23.73,103,100,122,171
23.81,102,97,120,167
23.90,100,95,113,163
23.99,100,95,119,165
24.08,99,95,112,164
24.16,100,94,114,162
24.25,102,97,119,168
24.34,99,95,113,164
24.42,102,96,120,168
24.51,100,94,111,163
24.60,102,96,118,166
24.69,103,96,117,165
24.77,103,97,120,166
24.86,102,96,116,165
24.95,99,92,110,158
25.04,97,92,110,160
25.12,102,96,117,163
25.21,101,93,120,161
25.30,101,96,115,167
25.38,102,95,118,165
25.47,102,95,118,164
25.56,102,94,115,163
25.65,104,93,116,159
25.73,104,97,121,165
25.82,104,96,117,165
25.91,105,96,118,166
26.00,103,94,115,162
26.08,104,96,118,166
26.17,104,94,114,162
26.26,106,95,115,165
26.34,108,98,123,168
26.43,107,97,121,166
26.52,106,96,119,164
26.61,106,96,120,164
26.69,105,94,114,162
26.78,106,95,114,165
26.87,107,94,120,159
26.95,109,96,115,165
27.04,110,97,122,166
27.13,109,95,114,165
27.22,108,96,115,166
27.30,110,96,123,164
27.39,110,95,114,164
27.48,111,96,113,162
27.57,110,95,114,163
27.65,114,96,122,165
27.74,113,98,122,170
27.83,115,97,122,167
27.91,135,118,136,193
28.00,115,97,122,166
28.09,117,98,120,169
28.18,117,98,123,167
28.26,116,95,115,165
28.35,117,95,118,162
28.44,119,97,121,167
28.52,121,98,124,166
28.61,118,94,118,160
28.70,120,97,122,165
28.79,125,101,127,174
28.87,124,97,118,168
28.96,125,96,119,165
29.05,126,97,122,166
29.14,127,97,121,165
29.22,126,95,119,162
29.31,129,94,118,163
29.40,128,96,117,165
29.48,135,98,124,167
29.57,135,99,129,166
29.66,136,99,123,171
29.75,140,97,124,165
29.83,145,100,130,170
29.92,145,98,131,164
30.01,141,96,120,163
30.09,143,96,119,164
30.18,149,103,130,175
30.27,146,98,119,166
30.36,156,103,136,173
30.44,155,101,126,169
30.53,152,97,119,164
