time,A,B,C,D
13.93,0.31,0.20,0.28,0.80
14.01,0.31,0.20,0.28,0.80
14.10,0.30,0.20,0.27,0.79
14.19,0.30,0.20,0.27,0.79
14.28,0.31,0.20,0.29,0.79
14.36,0.30,0.19,0.27,0.78
14.45,0.30,0.19,0.28,0.78
14.54,0.28,0.19,0.28,0.77
14.63,0.32,0.19,0.28,0.76
14.71,0.27,0.19,0.28,0.76
14.80,0.29,0.19,0.28,0.76
14.89,0.29,0.19,0.27,0.76
14.98,0.28,0.19,0.27,0.76
15.06,0.28,0.19,0.27,0.75
15.15,0.27,0.19,0.27,0.74
15.24,0.27,0.19,0.27,0.73
15.33,0.27,0.19,0.27,0.73
15.41,0.27,0.19,0.28,0.73
15.50,0.28,0.19,0.27,0.74
15.59,0.27,0.19,0.27,0.72
15.68,0.27,0.19,0.27,0.72
15.76,0.27,0.19,0.27,0.73
15.85,0.28,0.19,0.27,0.73
15.94,0.28,0.19,0.27,0.72
16.03,0.28,0.19,0.27,0.73
16.11,0.26,0.19,0.27,0.69
16.20,0.27,0.19,0.27,0.70
16.29,0.27,0.19,0.28,0.70
16.38,0.26,0.19,0.27,0.69
16.46,0.26,0.19,0.28,0.68
16.55,0.27,0.19,0.27,0.68
16.64,0.27,0.19,0.27,0.68
16.73,0.25,0.18,0.27,0.67
16.81,0.27,0.18,0.27,0.65
16.90,0.26,0.19,0.27,0.67
16.99,0.26,0.19,0.27,0.66
17.08,0.26,0.18,0.27,0.64
17.16,0.25,0.18,0.27,0.64
17.25,0.26,0.18,0.27,0.64
17.34,0.25,0.18,0.27,0.64
17.43,0.30,0.18,0.27,0.64
17.51,0.30,0.18,0.27,0.63
