time,A,B,C,D
0.09,105,99,171,224
0.18,113,105,174,230
0.26,107,100,173,229
0.35,121,113,185,247
0.44,113,104,178,231
0.52,109,104,176,229
0.61,109,102,174,228
0.70,109,102,173,228
0.79,110,103,175,230
0.87,111,103,174,228
0.96,107,99,173,225
1.05,110,101,171,228
1.14,111,104,177,229
1.22,112,103,175,229
1.31,112,104,174,230
1.40,111,103,173,229
1.48,117,108,177,234
1.57,110,103,174,229
1.66,112,103,173,229
1.75,114,106,178,233
1.83,113,105,173,233
1.92,109,100,172,227
2.01,109,103,173,229
2.09,110,102,172,228
2.18,111,102,172,229
2.27,111,103,172,229
2.36,110,102,173,231
2.44,109,103,174,230
2.53,109,102,173,227
2.62,109,103,174,230
2.71,112,104,176,232
2.79,110,102,173,229
2.88,110,103,174,229
2.97,108,102,172,229
3.05,109,102,173,228
3.14,109,102,174,227
3.23,111,104,174,231
3.32,110,103,172,227
3.40,110,105,174,230
3.49,109,102,172,228
3.58,109,103,173,230
3.66,110,102,172,230
3.75,110,101,172,228
3.84,109,102,172,228
3.93,108,101,172,227
4.01,115,105,174,231
4.10,109,100,172,226
4.19,111,103,172,227
4.28,108,101,171,225
4.36,111,104,172,228
4.45,110,100,172,226
4.54,113,105,174,231
4.62,111,104,174,230
4.71,112,105,175,231
4.80,112,104,173,228
4.89,112,103,173,228
4.97,114,107,178,232
5.06,113,107,175,233
5.15,110,100,171,227
5.24,115,108,177,233
5.32,110,102,172,228
5.41,112,104,173,229
5.50,109,102,173,227
5.58,110,102,172,228
5.67,111,102,172,228
5.76,112,104,172,230
5.85,113,105,176,232
5.93,112,104,173,229
6.02,111,103,172,229
6.11,112,104,174,230
6.19,112,103,172,228
6.28,110,104,174,229
6.37,110,103,173,228
6.46,113,103,172,228
6.54,112,105,174,230
6.63,110,102,172,227
6.72,124,116,187,247
6.81,111,103,172,230
6.89,112,104,171,229
6.98,110,102,172,225
7.07,106,100,174,227
7.15,109,101,172,227
7.24,111,104,173,230
7.33,113,108,175,234
7.42,110,104,175,229
7.50,109,103,173,228
7.59,115,109,175,233
7.68,113,105,175,231
7.76,111,104,172,229
7.85,112,105,173,229
7.94,110,103,173,227
8.03,109,103,173,228
8.11,106,100,171,225
8.20,112,105,174,231
8.29,108,101,171,225
8.38,112,104,172,230
8.46,113,105,175,230
8.55,111,105,177,228
8.64,110,103,172,227
8.72,111,105,173,229
8.81,110,103,173,229
8.90,108,101,172,226
8.99,111,104,172,229
9.07,112,104,173,229
9.16,113,106,174,231
9.25,116,108,178,233
9.33,113,104,172,230
9.42,106,101,171,227
9.51,112,105,174,229
9.60,113,107,175,230
9.68,115,108,176,232
9.77,113,106,173,231
9.86,111,104,172,228
9.95,108,102,175,227
10.03,111,104,172,228
10.12,111,106,174,229
10.21,111,105,173,227
10.29,111,105,172,230
10.38,113,107,177,230
10.47,114,106,173,231
10.56,114,108,173,233
10.64,111,105,171,228
10.73,112,107,174,231
10.82,111,106,173,229
10.90,111,105,174,228
10.99,111,105,172,228
11.08,108,103,171,225
11.17,111,106,174,228
11.25,111,106,174,230
11.34,111,106,172,230
11.43,110,105,172,227
11.52,112,106,171,228
11.60,112,106,172,228
11.69,111,106,172,227
11.78,113,108,173,230
11.86,111,106,173,228
11.95,112,109,175,230
12.04,111,107,174,230
12.13,109,106,172,226
12.21,112,109,175,230
12.30,113,109,176,230
12.39,113,109,173,229
12.47,113,109,176,229
12.56,112,108,173,229
12.65,111,108,175,230
12.74,112,108,173,227
12.82,111,108,172,226
12.91,110,107,171,226
13.00,111,110,174,229
13.09,113,111,177,231
13.17,111,109,172,228
13.26,112,111,174,229
13.35,112,111,172,229
13.43,112,110,173,228
13.52,113,110,171,229
13.61,111,111,172,228
13.70,110,110,171,227
13.78,114,113,173,229
13.87,112,111,171,226
13.96,116,115,175,232
14.04,113,114,173,230
14.13,114,114,174,230
14.22,114,117,177,231
14.31,115,116,175,231
14.39,115,113,172,228
14.48,110,112,174,225
14.57,114,116,175,230
14.66,112,114,172,229
14.74,114,117,172,231
14.83,113,116,172,229
14.92,114,117,173,229
15.00,116,121,176,233
15.09,115,119,174,229
15.18,115,119,174,229
15.27,116,121,174,230
15.35,114,122,174,229
15.44,114,122,173,229
15.53,117,123,174,230
15.62,117,123,174,227
15.70,115,124,173,230
15.79,117,126,176,231
15.88,121,129,178,232
15.96,119,128,176,232
16.05,116,128,175,230
16.14,118,128,173,230
16.23,119,130,176,231
16.31,116,130,172,227
16.40,120,134,176,231
16.49,120,133,175,230
16.57,120,133,172,228
16.66,121,136,175,232
16.75,122,137,176,231
16.84,122,139,175,231
16.92,121,139,175,228
17.01,128,146,180,243
17.10,126,146,176,231
17.19,124,143,173,229
17.27,150,168,200,277
17.36,126,149,174,231
17.45,128,150,173,227
17.53,127,155,177,229
17.62,128,158,178,227
17.71,129,158,177,229
17.80,144,175,191,257
17.88,130,162,173,229
17.97,129,165,173,225
18.06,134,173,177,229
18.14,134,172,177,228
18.23,135,176,180,228
18.32,136,177,178,226
18.41,137,178,177,229
18.49,139,181,175,229
18.58,138,184,176,226
18.67,140,182,174,230
18.76,143,188,178,231
18.84,145,189,178,231
18.93,147,192,179,229
19.02,147,193,177,225
19.10,154,201,184,233
19.19,150,198,178,228
19.28,153,197,179,227
19.37,154,198,176,226
19.45,154,202,176,224
19.54,158,204,176,228
19.63,163,208,179,229
19.71,164,208,176,228
19.80,166,209,175,227
19.89,169,213,180,228
19.98,173,218,183,230
20.06,177,218,177,228
20.15,180,221,180,229
20.24,184,223,179,230
20.33,185,223,180,229
20.41,190,225,179,228
20.50,194,229,181,228
20.59,193,230,177,227
20.67,204,236,185,233
20.76,207,239,189,232
20.85,208,237,182,231
20.94,216,242,190,230
21.02,220,241,182,228
21.11,222,244,179,225
21.20,231,250,184,231
21.28,245,262,192,255
21.37,240,249,181,230
21.46,245,251,182,228
21.55,250,256,183,228
21.63,261,258,180,229
21.72,269,261,179,229
21.81,275,261,181,226
21.90,284,263,186,229
21.98,291,266,188,229
22.07,300,268,183,228
22.16,307,275,187,229
22.24,320,281,189,231
22.33,326,277,185,228
22.42,338,280,188,232
22.51,348,281,182,232
22.59,341,286,183,227
22.68,362,295,190,232
22.77,377,294,186,231
22.85,387,294,187,229
22.94,398,294,191,229
23.03,398,296,182,229
23.12,418,304,190,230
23.20,421,307,190,230
23.29,438,306,190,226
23.38,459,303,182,222
23.47,466,307,187,228
23.55,490,312,196,230
23.64,498,315,190,231
23.73,519,320,190,229
23.81,547,329,197,252
23.90,553,318,189,232
23.99,572,320,189,230
24.08,599,325,193,232
24.16,623,329,194,230
24.25,645,334,190,228
24.34,658,332,188,230
24.42,674,333,194,231
24.51,690,332,186,227
24.60,723,341,196,230
24.69,748,346,189,229
