time,A,B,C,D
24.77,761,352,206,233
24.86,782,348,192,226
24.95,797,347,196,228
25.04,819,349,196,229
25.12,838,351,192,227
25.21,855,358,189,229
25.30,863,364,191,228
25.38,873,363,196,229
25.47,872,363,196,234
25.56,876,364,205,235
25.65,876,364,198,227
25.73,878,376,210,232
25.82,878,375,191,229
25.91,878,370,189,227
26.00,879,372,191,228
26.08,880,375,196,232
26.17,880,383,193,228
26.26,880,389,203,229
26.34,881,385,200,227
26.43,882,378,190,228
26.52,882,381,197,229
26.61,882,385,199,229
26.69,882,394,195,226
26.78,883,398,203,232
26.87,883,392,194,228
26.95,883,391,198,231
27.04,883,393,199,229
27.13,883,403,195,228
27.22,883,414,214,230
27.30,883,409,196,230
27.39,883,405,205,229
27.48,883,404,208,232
27.57,883,405,201,231
27.65,883,417,196,227
27.74,884,419,203,230
27.83,883,413,199,230
27.91,883,409,195,229
28.00,883,412,203,230
28.09,883,417,202,228
28.18,883,430,197,228
28.26,883,432,199,229
28.35,883,426,203,229
28.44,883,418,196,224
28.52,883,422,203,230
28.61,883,425,209,229
28.70,883,436,206,230
28.79,883,438,206,231
28.87,882,434,206,230
28.96,882,428,202,229
29.05,883,430,209,231
29.14,882,435,206,228
29.22,882,450,210,230
29.31,883,449,199,230
29.40,882,442,199,229
29.48,882,435,203,230
29.57,882,439,204,230
29.66,882,440,202,228
29.75,888,463,222,247
29.83,882,455,208,231
29.92,882,444,202,231
30.01,882,435,200,230
30.09,882,440,216,232
30.18,881,443,209,231
30.27,882,455,221,231
30.36,881,457,204,229
30.44,881,454,218,233
30.53,880,443,199,228
30.62,881,443,201,226
30.71,881,445,199,229
30.79,881,455,203,226
30.88,880,459,212,230
30.97,880,459,210,231
31.05,880,449,200,227
31.14,881,457,210,229
31.23,881,464,212,231
31.32,880,470,208,228
31.40,880,487,213,229
31.49,880,485,209,228
31.58,880,476,209,225
31.66,880,472,212,229
31.75,880,470,201,229
31.84,881,476,212,233
31.93,881,490,205,228
32.01,880,499,216,231
32.10,881,490,215,232
32.19,880,476,203,228
32.28,881,477,204,229
32.36,880,481,208,229
32.45,880,494,209,228
32.54,881,509,221,230
32.62,880,499,209,228
32.71,881,491,211,230
32.80,880,489,211,229
32.89,880,488,205,227
32.97,880,501,214,231
33.06,881,522,215,232
33.15,880,514,209,227
33.23,880,495,211,226
33.32,879,496,213,229
33.41,881,494,213,230
33.50,881,504,217,229
33.58,880,528,218,230
33.67,880,521,222,228
33.76,879,504,212,228
33.85,880,498,206,227
33.93,880,501,220,232
34.02,880,501,205,228
34.11,880,519,212,227
34.19,880,530,215,229
34.28,881,518,217,231
34.37,881,506,212,229
34.46,880,505,218,230
34.54,879,507,216,230
34.63,880,518,209,229
34.72,880,534,221,231
34.80,880,522,214,231
34.89,880,509,216,229
34.98,880,508,209,228
35.07,880,509,212,229
35.15,880,526,226,230
35.24,880,545,215,229
35.33,880,532,215,230
35.42,879,517,213,228
35.50,879,517,213,229
35.59,879,518,214,230
35.68,879,537,217,227
35.76,879,556,225,230
35.85,881,541,221,231
35.94,879,529,216,228
36.03,879,523,214,227
36.11,879,526,220,229
36.20,880,550,216,230
36.29,879,565,223,228
36.38,879,545,220,229
36.46,878,537,226,230
36.55,879,529,217,224
36.64,879,536,219,228
36.72,879,570,226,227
36.81,879,573,215,227
36.90,879,553,219,229
36.99,879,538,215,229
37.07,879,535,215,229
37.16,879,547,227,233
37.25,879,578,224,230
37.33,879,581,225,229
37.42,879,559,225,233
37.51,879,546,218,227
37.60,879,543,216,230
37.68,879,555,217,233
37.77,879,587,227,230
37.86,879,583,231,235
37.95,879,558,215,227
38.03,880,553,217,230
38.12,880,551,225,230
38.21,879,570,226,232
38.29,878,593,226,231
38.38,880,589,237,230
38.47,879,563,218,226
38.56,880,553,220,232
38.64,880,550,213,227
38.73,881,572,215,229
38.82,880,593,222,230
38.90,879,577,230,232
38.99,880,558,213,227
39.08,880,558,230,232
39.17,880,559,219,233
39.25,879,591,221,230
39.34,880,606,240,231
39.43,879,582,223,230
39.52,879,568,226,228
39.60,878,564,224,234
39.69,880,587,218,229
39.78,879,607,220,228
39.86,880,588,235,234
39.95,879,573,219,232
40.04,880,565,215,228
40.13,881,569,225,232
40.21,879,601,228,232
40.30,880,612,223,228
40.39,880,591,228,230
40.47,880,577,222,231
40.56,880,572,223,230
40.65,879,581,220,227
40.74,880,620,230,230
40.82,879,612,230,229
40.91,879,584,222,230
41.00,880,577,219,231
41.09,879,579,224,229
41.17,879,617,237,231
41.26,880,628,230,229
41.35,880,601,223,226
41.43,879,586,217,231
41.52,880,580,236,231
41.61,878,591,230,231
41.70,879,627,225,229
41.78,879,622,225,229
41.87,879,595,224,231
41.96,880,586,227,229
42.04,878,585,222,229
42.13,879,613,222,229
42.22,879,629,223,229
42.31,878,610,234,231
42.39,879,591,231,230
42.48,879,587,221,228
42.57,878,602,225,229
42.66,879,639,234,231
42.74,879,629,230,230
42.83,878,599,226,229
42.92,878,586,223,231
43.00,880,592,219,227
43.09,879,626,221,229
43.18,877,642,241,230
43.27,879,612,225,227
43.35,876,595,229,231
43.44,877,589,231,231
43.53,878,600,223,229
43.61,876,633,223,227
43.70,874,640,229,229
43.79,877,612,221,228
43.88,875,598,219,227
43.96,879,589,217,227
44.05,875,607,220,228
44.14,872,653,244,230
44.23,874,635,224,229
44.31,871,606,227,230
44.40,878,592,219,229
44.49,878,594,239,232
44.57,876,611,219,229
44.66,878,644,239,232
44.75,876,626,222,228
44.84,875,610,239,233
44.92,876,597,216,225
45.01,872,613,228,228
45.10,876,660,241,231
45.18,878,651,236,228
45.27,876,618,228,228
45.36,875,605,237,233
45.45,873,599,229,231
45.53,875,624,228,229
45.62,878,661,246,234
45.71,874,645,234,230
45.80,876,611,231,230
45.88,880,599,221,231
45.97,876,607,221,231
46.06,875,636,231,231
46.14,869,654,242,232
46.23,866,632,232,229
46.32,863,611,221,229
46.41,877,603,223,231
46.49,878,608,220,229
46.58,869,650,233,230
46.67,870,658,235,230
46.76,879,624,231,234
46.84,875,605,227,232
46.93,872,605,240,231
47.02,874,617,229,228
47.10,879,661,233,231
47.19,873,658,233,225
47.28,875,624,222,227
47.37,874,608,221,227
47.45,873,605,217,223
47.54,875,631,226,230
47.63,878,665,237,230
47.71,864,640,230,228
47.80,875,614,220,228
47.89,878,608,225,225
47.98,875,619,232,229
48.06,876,656,237,230
48.15,876,654,234,229
48.24,878,627,232,230
48.33,877,616,221,229
48.41,876,611,222,229
48.50,879,633,234,229
48.59,876,671,229,228
48.67,878,646,233,230
48.76,877,618,226,230
48.85,876,608,229,231
48.94,876,610,224,230
49.02,878,632,224,229
49.11,877,656,242,234
49.20,877,632,240,231
49.28,873,622,228,230
49.37,875,612,224,229
49.46,873,618,233,229
49.55,873,638,233,230
49.63,873,667,232,227
49.72,878,632,225,231
49.81,875,616,233,230
49.90,879,612,229,231
49.98,879,618,231,229
50.07,875,633,230,229
50.16,876,666,232,227
50.24,873,629,228,234
50.33,877,614,227,229
50.42,876,611,220,226
50.51,874,624,226,229
50.59,878,642,225,228
50.68,878,666,229,229
50.77,879,634,222,230
50.85,876,617,238,230
50.94,877,615,224,228
51.03,870,627,234,229
51.12,871,644,225,228
51.20,862,653,237,227
51.29,875,624,231,228
51.38,872,615,221,227
51.47,872,615,226,229
51.55,879,627,223,230
51.64,871,656,227,228
51.73,873,647,238,230
51.81,857,615,223,228
51.90,875,608,223,226
51.99,874,615,219,228
52.08,878,632,228,229
52.16,873,648,234,232
52.25,876,636,226,228
52.34,876,613,222,229
52.42,874,613,221,229
52.51,857,622,221,228
52.60,859,637,237,230
52.69,871,644,223,228
52.77,874,635,231,228
52.86,867,616,221,229
52.95,876,628,233,231
53.04,878,627,225,228
53.12,870,628,223,227
53.21,875,637,229,228
53.30,872,627,233,225
53.38,876,614,221,229
53.47,878,629,230,231
53.56,875,630,220,227
53.65,872,626,228,229
53.73,876,639,244,234
53.82,876,614,228,231
53.91,877,625,230,227
53.99,877,625,221,227
54.08,873,631,224,228
54.17,877,636,228,227
54.26,874,624,222,229
54.34,869,626,235,228
54.43,822,630,230,227
54.52,876,632,231,231
54.61,809,624,237,228
54.69,812,622,226,230
54.78,871,626,227,227
54.87,805,630,224,227
54.95,819,631,231,231
55.04,872,625,235,227
55.13,825,611,219,229
55.22,865,607,219,228
55.30,824,616,224,231
55.39,867,618,228,226
55.48,871,625,227,231
55.56,872,623,222,228
55.65,870,620,231,228
55.74,875,624,222,227
55.83,875,629,228,226
55.91,813,624,240,234
56.00,839,627,227,231
56.09,874,618,222,229
56.18,870,610,225,229
56.26,863,619,227,232
56.35,871,616,231,234
56.44,861,624,222,229
56.52,868,614,226,229
56.61,838,620,229,229
56.70,840,600,222,231
56.79,864,633,222,228
56.87,869,624,232,228
56.96,878,614,221,230
57.05,835,615,225,229
57.14,848,617,224,228
57.22,812,593,219,231
57.31,871,619,236,228
57.40,877,625,227,231
57.48,837,622,228,228
57.57,871,613,227,230
57.66,866,593,218,229
57.75,869,591,218,225
57.83,875,611,224,228
57.92,876,620,227,228
58.01,872,623,223,228
58.09,874,612,220,226
58.18,864,601,236,231
58.27,875,609,234,233
58.36,867,618,223,229
58.44,867,619,228,228
58.53,869,623,222,229
58.62,869,620,230,229
58.71,851,606,226,229
58.79,846,595,218,228
58.88,873,630,231,230
58.97,849,630,223,229
59.05,864,621,229,229
59.14,772,618,220,228
59.23,864,612,220,229
59.32,871,606,229,230
59.40,863,622,219,228
59.49,867,617,224,224
59.58,874,615,231,233
59.66,869,610,227,228
59.75,872,617,221,228
59.84,875,627,221,227
59.93,865,633,227,231
60.01,829,624,229,228
60.10,867,616,231,228
60.19,876,616,221,229
60.28,855,614,220,227
60.36,873,617,220,226
60.45,857,619,228,229
60.54,830,616,237,230
60.62,854,617,219,225
60.71,849,625,227,226
60.80,871,592,222,229
60.89,850,613,236,229
60.97,876,613,230,228
61.06,876,633,229,228
61.15,877,634,222,227
61.23,831,614,232,230
61.32,875,609,229,229
61.41,872,634,227,231
61.50,868,613,227,227
61.58,864,624,240,234
61.67,874,617,231,234
61.76,856,639,224,229
61.85,859,605,216,225
61.93,871,600,232,234
62.02,866,624,221,230
62.11,868,636,235,229
62.19,847,612,220,227
62.28,859,611,216,224
62.37,873,613,220,229
62.46,868,605,222,224
62.54,852,608,229,230
62.63,824,619,221,230
62.72,846,624,235,231
62.80,779,627,230,231
62.89,864,623,228,229
62.98,874,610,222,227
63.07,870,639,239,231
63.15,871,624,229,229
63.24,793,612,226,228
63.33,876,625,230,233
63.42,865,612,231,227
63.50,807,631,224,230
63.59,873,632,232,232
63.68,876,618,233,232
63.76,821,619,235,233
63.85,870,614,233,225
63.94,855,621,225,229
64.03,864,630,229,230
64.11,831,621,233,232
64.20,867,637,229,230
64.29,824,617,222,228
64.37,789,627,231,231
64.46,873,622,229,230
64.55,854,640,229,229
64.64,850,619,227,229
64.72,779,611,228,230
64.81,878,614,226,229
64.90,876,627,227,229
64.99,868,631,229,228
65.07,823,626,223,229
65.16,862,637,223,227
65.25,825,602,228,230
65.33,829,634,230,231
65.42,834,637,237,268
65.51,881,623,227,238
65.60,792,603,228,231
65.68,836,610,232,229
65.77,872,639,224,227
65.86,795,623,219,227
65.95,867,626,240,235
66.03,810,612,234,232
66.12,869,624,222,227
66.21,840,622,222,227
66.29,820,622,229,233
66.38,871,627,228,232
66.47,810,636,236,229
66.56,859,618,221,227
66.64,861,594,228,230
66.73,874,625,227,230
66.82,749,599,219,229
66.90,806,627,234,229
66.99,848,617,222,227
67.08,869,629,239,234
67.17,878,599,222,232
67.25,876,626,226,227
67.34,816,611,225,229
67.43,834,623,232,230
67.52,824,624,237,231
67.60,850,607,227,229
67.69,768,633,244,270
