01/01/01 , 10:26 ,	0.017
01/01/01 , 10:53 ,	0.025
01/01/01 , 11:33 ,	0.043
01/01/01 , 12:48 ,	0.112
01/01/01 , 13:29 ,	0.191
01/01/01 , 14:22 ,	0.343
01/01/01 , 15:05 ,	0.56
01/01/01 , 15:52 ,	0.925
