01/01/01 , 10:30 ,	0.008
01/01/01 , 11:37 ,	0.029
01/01/01 , 12:28 ,	0.079
01/01/01 , 13:07 ,	0.145
01/01/01 , 13:37 ,	0.24
01/01/01 , 14:01 ,	0.363
01/01/01 , 14:30 ,	0.545
01/01/01 , 14:59 ,	0.815
01/01/01 , 15:27 ,	1.15
01/01/01 , 15:59 ,	1.57
01/01/01 , 16:31 ,	1.844
